x,y,phase
-42.38208,-35.452625,0.27612886
-41.69708,-36.437626,0.27413943
-40.998077,-37.413628,0.27215
-40.28608,-38.379627,0.2701606
-39.560078,-39.335625,0.26817116
-38.82108,-40.280624,0.26618174
-38.068077,-41.215626,0.2641923
-37.30208,-42.139626,0.2622029
-36.52208,-43.051624,0.26021346
-35.72908,-43.952625,0.25822404
-34.923077,-44.841625,0.25623462
-34.10408,-45.718624,0.2542452
-33.27208,-46.582626,0.25225577
-32.42708,-47.434628,0.25026634
-31.56908,-48.273624,0.2482769
-30.698078,-49.098625,0.24628747
-29.81408,-49.910625,0.24429803
-28.91708,-50.708626,0.24230859
-28.00808,-51.491627,0.24031915
-27.087078,-52.260628,0.23832971
-26.15308,-53.014626,0.23634027
-25.207077,-53.753628,0.23435083
-24.249077,-54.476627,0.23236139
-23.280079,-55.184628,0.23037195
-22.29908,-55.876625,0.22838251
-21.30708,-56.551624,0.22639307
-20.304077,-57.209625,0.22440363
-19.290077,-57.850624,0.2224142
-18.265076,-58.474625,0.22042476
-17.229076,-59.081627,0.21843532
-16.183079,-59.670628,0.21644588
-15.127078,-60.241627,0.21445644
-14.061078,-60.793625,0.212467
-12.986077,-61.326626,0.21047756
-11.902078,-61.840626,0.20848812
-10.809077,-62.335625,0.20649868
-9.707078,-62.811623,0.20450924
-8.597077,-63.267624,0.2025198
-7.4790773,-63.70363,0.20053037
-6.353078,-64.11863,0.19854093
-5.219077,-64.513626,0.19655149
-4.0780773,-64.88763,0.19456205
-2.931078,-65.24062,0.19257261
-1.7770777,-65.572624,0.19058317
-0.6170778,-65.88263,0.18859373
0.54792213,-66.17162,0.18660429
1.7179222,-66.43863,0.18461485
2.8929224,-66.683624,0.18262541
4.072922,-66.905624,0.18063597
5.2569222,-67.10563,0.17864653
6.4439225,-67.28362,0.1766571
7.6339226,-67.43863,0.17466766
8.826922,-67.570625,0.17267822
10.021922,-67.67963,0.17068878
11.218923,-67.765625,0.16869934
12.416923,-67.82863,0.1667099
13.615923,-67.86863,0.16472046
14.814922,-67.88563,0.16273102
16.013922,-67.878624,0.16074158
17.212923,-67.848625,0.15875214
18.410923,-67.79562,0.1567627
19.607922,-67.71863,0.15477327
20.802921,-67.61863,0.15278383
21.995922,-67.49563,0.15079439
23.186922,-67.348625,0.14880495
24.373922,-67.17863,0.14681551
25.557922,-66.98563,0.14482607
26.737923,-66.76962,0.14283663
27.913921,-66.530624,0.14084719
29.084923,-66.26862,0.13885775
30.249924,-65.98363,0.13686831
31.408924,-65.67563,0.13487887
32.561924,-65.34563,0.13288943
33.708923,-64.99262,0.1309
34.847923,-64.61762,0.12891056
35.979923,-64.22063,0.12692112
37.103924,-63.80163,0.12493168
38.21992,-63.360626,0.12294224
39.326923,-62.89763,0.1209528
40.424923,-62.413628,0.11896336
41.512924,-61.908627,0.11697392
42.590923,-61.382626,0.11498448
43.65892,-60.835625,0.11299504
44.715923,-60.268627,0.111005604
45.76192,-59.681625,0.109016165
46.79692,-59.074627,0.107026726
47.81992,-58.448627,0.10503729
48.83092,-57.802628,0.10304785
49.82992,-57.137627,0.10105841
50.81592,-56.454624,0.09906897
51.78892,-55.752625,0.09707953
52.74892,-55.032627,0.09509009
53.69492,-54.294624,0.09310065
54.627922,-53.539627,0.09111121
55.54592,-52.767628,0.089121774
56.44992,-51.978626,0.087132335
57.33892,-51.172626,0.085142896
58.21292,-50.350624,0.08315346
59.071922,-49.512627,0.08116402
59.91592,-48.659626,0.07917458
60.743923,-47.791626,0.07718514
61.556923,-46.908627,0.0751957
62.35392,-46.011627,0.07320626
63.133923,-45.099625,0.07121682
63.897923,-44.174625,0.06922738
64.64592,-43.235626,0.06723794
65.37692,-42.283627,0.065248504
66.09093,-41.318626,0.063259065
66.787926,-40.341625,0.06126963
67.467926,-39.352627,0.059280194
68.12992,-38.351627,0.05729076
68.774925,-37.339626,0.055301324
69.401924,-36.316628,0.053311888
70.011925,-35.282627,0.051322453
70.60392,-34.238625,0.049333017
71.177925,-33.184628,0.047343582
71.733925,-32.120625,0.045354147
72.27193,-31.047626,0.04336471
72.790924,-29.965626,0.041375276
73.29192,-28.874626,0.03938584
73.774925,-27.775625,0.037396405
74.23892,-26.668627,0.03540697
74.68492,-25.554626,0.033417534
75.11192,-24.432627,0.0314281
75.51993,-23.303625,0.029438661
75.90993,-22.168627,0.027449224
76.28092,-21.026627,0.025459787
76.63293,-19.878626,0.02347035
76.96593,-18.725626,0.021480912
77.27992,-17.567625,0.019491475
77.57493,-16.404627,0.017502038
77.85193,-15.236626,0.015512601
78.108925,-14.064626,0.013523163
78.346924,-12.888626,0.011533726
78.565926,-11.708626,0.009544289
78.76592,-10.524626,0.007554852
78.94692,-9.3376255,0.005565415
79.108925,-8.148626,0.0035759783
79.25192,-6.956626,0.0015865415
79.37592,-5.762626,0.99959713
79.48093,-4.566626,0.9976077
79.566925,-3.369626,0.9956183
79.63393,-2.170626,0.99362886
79.68192,-0.9706259,0.99163944
79.70992,0.22937405,0.98965
79.718925,1.428374,0.9876606
79.70892,2.6273742,0.98567116
79.679924,3.826374,0.98368174
79.63293,5.025374,0.9816923
79.566925,6.223374,0.9797029
79.481926,7.419374,0.97771347
79.37792,8.614374,0.97572404
79.25493,9.807374,0.9737346
79.11292,10.998374,0.9717452
78.95193,12.187374,0.96975577
78.77293,13.373374,0.96776634
78.57493,14.556374,0.9657769
78.358925,15.736374,0.9637875
78.123924,16.912374,0.9617981
77.870926,18.085375,0.95980865
77.59992,19.254374,0.9578192
77.30993,20.418373,0.9558298
77.00192,21.577374,0.9538404
76.67593,22.732374,0.95185095
76.331924,23.881374,0.9498615
75.970924,25.025373,0.9478721
75.59093,26.163374,0.9458827
75.193924,27.295374,0.94389325
74.77892,28.421373,0.9419038
74.345924,29.540375,0.9399144
73.991,30.417,0.937925
73.605,31.339,0.93593556
73.208,32.257,0.93394613
72.799,33.169,0.9319567
72.379,34.077,0.9299673
71.947,34.979,0.92797786
71.504,35.875,0.92598844
71.05,36.766,0.923999
70.585,37.652,0.9220096
70.109,38.531,0.92002016
69.622,39.404,0.91803074
69.124,40.271,0.9160413
68.615,41.132,0.9140519
68.096,41.987,0.91206247
67.565,42.835,0.91007304
67.025,43.676,0.9080836
66.474,44.51,0.9060942
65.912,45.338,0.90410477
65.34,46.158,0.90211535
64.758,46.971,0.9001259
64.166,47.777,0.8981365
63.564,48.575,0.8961471
62.952,49.366,0.89415765
62.33,50.149,0.8921682
61.698,50.924,0.8901788
61.056,51.691,0.8881894
60.406,52.451,0.88619995
59.745,53.201,0.8842105
59.076,53.944,0.8822211
58.397,54.678,0.8802317
57.709,55.404,0.87824225
57.012,56.121,0.87625283
56.306,56.829,0.8742634
55.591,57.529,0.872274
54.867,58.219,0.87028456
54.135,58.9,0.86829513
53.395,59.572,0.8663057
52.646,60.235,0.8643163
51.889,60.888,0.86232686
51.124,61.532,0.86033744
50.351,62.167,0.858348
49.57,62.791,0.8563586
48.781,63.406,0.85436916
47.985,64.011,0.85237974
47.181,64.605,0.8503903
46.37,65.19,0.8484009
45.551,65.765,0.84641147
44.726,66.329,0.84442204
43.893,66.883,0.8424326
43.054,67.426,0.8404432
42.207,67.959,0.83845377
41.355,68.481,0.83646435
40.495,68.993,0.8344749
39.63,69.494,0.8324855
